dataset_file,n_rows,n_columns_total,n_features_raw,n_features_numeric_raw,n_features_categorical_raw,n_missing_cells,missing_pct,label_column,n_classes,majority_class_fraction,is_binary,n_rows_used_after_cleaning,n_features_used_after_encoding,c1,c2,cls_coef,density,f1.mean,f1v.mean,f2.mean,f3.mean,f4.mean,hubs.mean,l1.mean,l2.mean,l3.mean,lsc,n1,n2.mean,n3.mean,n4.mean,t1,t2,t3,t4,error
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.csv,1600.0,1001.0,1000.0,1000.0,0.0,0.0,0.0,target,2.0,0.5,True,1600.0,1000.0,1.0,0.0,0.7357293668244498,0.894608348968105,0.9993953111075592,0.13120844783363514,2.2737367544323206e-13,0.9975,0.953125,0.8218846219552899,0.0,0.0,0.188125,0.998787890625,0.606875,0.4998592891920868,0.47625,0.04125,1.0,0.625,0.43,0.688,
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.csv,1600.0,21.0,20.0,20.0,0.0,0.0,0.0,target,2.0,0.5,True,1600.0,20.0,1.0,0.0,0.6464854733131354,0.896411038148843,0.9995305398021728,0.9640983859991058,1.0,1.0,1.0,0.7953558443575107,0.16925883677789977,0.44875,0.44437499999999996,0.9990078125,0.645,0.4935574405416774,0.461875,0.35125,0.9325,0.0125,0.01125,0.9,
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.csv,1600.0,21.0,20.0,20.0,0.0,0.0,0.0,target,2.0,0.5,True,1600.0,20.0,1.0,0.0,0.6406804420668613,0.8954846779237023,0.9995310345107031,0.963536198510399,0.5,0.99875,0.99875,0.8063369088541066,0.17191727690586234,0.46375,0.44062500000000004,0.99893515625,0.5975,0.4882493357526238,0.42875,0.358125,0.854375,0.0125,0.010625,0.85,
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.csv,1600.0,21.0,20.0,20.0,0.0,0.0,0.0,target,2.0,0.5,True,1600.0,20.0,1.0,0.0,0.6404535988093373,0.8949914008755472,0.9991174229525027,0.9320138414304481,1.0,1.0,1.0,0.8040614604864268,0.17413250033305216,0.44499999999999995,0.438125,0.999046875,0.684375,0.4969464679256035,0.484375,0.335625,0.884375,0.0125,0.01125,0.9,
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.csv,1600.0,21.0,20.0,20.0,0.0,0.0,0.0,target,2.0,0.5,True,1600.0,20.0,1.0,0.0,0.6326754266906992,0.8939086929330832,0.999649104936869,0.9718245567081457,0.5,0.99875,0.99875,0.8009422211941053,0.17383804670208725,0.46875,0.47375,0.99899375,0.649375,0.4869981565612233,0.445,0.415625,0.84625,0.0125,0.010625,0.85,
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.csv,1600.0,21.0,20.0,20.0,0.0,0.0,0.0,target,2.0,0.5,True,1600.0,20.0,1.0,0.0,0.6442623585772251,0.8955519074421514,0.9994393995526043,0.9575840498515132,1.0,1.0,1.0,0.8087693344647299,0.17221272165517543,0.47062499999999996,0.47375,0.998965234375,0.645,0.48753416817472767,0.44375,0.355625,0.92875,0.0125,0.010625,0.85,
Hill_Valley_with_noise.csv,1212.0,101.0,100.0,100.0,0.0,0.0,0.0,target,2.0,0.5,True,1212.0,100.0,1.0,0.0,0.2273503051318413,0.8987035780374074,0.999130039475872,0.536198143283807,0.0010320521708739134,0.9933993399339934,0.30775577557755773,0.798930601130916,0.1191323698611575,0.3671617161716172,0.45462046204620465,0.9982375093945038,0.5594059405940595,0.4895785719548937,0.39686468646864687,0.504950495049505,0.9694719471947195,0.08250825082508251,0.0008250825082508251,0.01,
Hill_Valley_without_noise.csv,1212.0,101.0,100.0,100.0,0.0,0.0,0.0,target,2.0,0.504950495049505,True,1212.0,100.0,0.9999292854321659,0.0001960399921584477,0.22523801565574875,0.8981544314629646,0.9990274536033003,0.5291393544494541,0.00015919065860860206,0.9942244224422442,0.3572607260726073,0.7424773818282034,0.2002465491357408,0.39191419141914197,0.448019801980198,0.9980067313662059,0.5495049504950495,0.4466713916487845,0.3424092409240924,0.5057755775577558,0.7838283828382838,0.08250825082508251,0.0008250825082508251,0.01,
Wisconsin_Breast_Cancer_without_ID.csv,569.0,31.0,30.0,30.0,0.0,0.0,0.0,fractal_dimension_worst,535.0,0.005272407732864675,False,569.0,30.0,0.996475400346673,0.00010508277526077858,1.0,0.9999257407361568,0.06903486397644262,,,6.30053554552137e-06,0.0,0.9923803100486396,0.0,0.0,2.800238020231719e-06,0.9982425307557118,1.0,0.9702614697849,1.0,0.648506151142355,1.0,0.05272407732864675,0.0017574692442882249,0.03333333333333333,
Wisconsin_Breast_Cancer_without_ID_smoth_diagnosis.csv,714.0,31.0,30.0,30.0,0.0,0.0,0.0,fractal_dimension_worst,535.0,0.0070028011204481795,False,714.0,30.0,0.9823912357814525,0.0005387371318180678,1.0,0.9999214271964045,0.05906678874385142,,,5.833829208816082e-06,0.0,0.9920634798073226,0.0,0.0,0.0,0.997810889061507,1.0,0.6383301177167663,0.6568627450980392,0.6386554621848739,0.7969187675070029,0.04201680672268908,0.0014005602240896359,0.03333333333333333,
adult.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skipped: 48842 rows (only datasets with < 15000 rows)
agaricus_lepiota.csv,8145.0,23.0,22.0,22.0,0.0,0.0,0.0,target,2.0,0.5190914671577656,True,8145.0,22.0,0.9989480654443034,0.0029116279772647413,0.2900928321282912,0.8561278810749662,,0.07978901074088321,,0.7770411295273174,0.003928790669122161,0.7374722728057944,0.05218486715951687,0.012031921424186631,0.14585635359116023,0.8852291775714951,0.003928790669122161,0.04139596719395936,0.0,0.1572744014732965,0.006507059545733579,0.0027010435850214854,0.0017188459177409454,0.6363636363636364,
analcatdata_aids.csv,50.0,5.0,4.0,4.0,0.0,0.0,0.0,target,2.0,0.5,True,50.0,4.0,1.0,0.0,0.6508313539192399,0.9069387755102041,0.963111559671701,0.5405514015335837,0.1833684995101279,0.76,0.66,0.6963116009826364,0.21618732509489902,0.36,0.21999999999999997,0.9772,0.96,0.8018024149353928,0.9,0.54,0.96,0.08,0.08,1.0,
analcatdata_asbestos.csv,83.0,4.0,3.0,3.0,0.0,0.0,0.0,target,2.0,0.5542168674698795,True,83.0,3.0,0.9915017866855546,0.0232424677187949,0.3429631075541675,0.8724654716426682,0.7702577222202333,0.2665447027152852,0.885185182094574,0.9879518072289156,0.9879518072289156,0.788053401895156,0.13265174504182997,0.19277108433734935,0.14457831325301207,0.9393235592974307,0.4578313253012048,0.2613198682257541,0.2289156626506024,0.3493975903614458,0.3132530120481928,0.03614457831325301,0.03614457831325301,1.0,
analcatdata_bankruptcy.csv,50.0,7.0,6.0,6.0,0.0,0.0,0.0,target,2.0,0.5,True,50.0,6.0,1.0,0.0,0.44893292682926833,0.8489795918367347,0.849921748802378,0.18350881556898044,0.0009027806729922267,0.38,0.0,0.7234411558091637,0.04233758112245245,0.07999999999999996,0.0,0.9072,0.26,0.38670018644996085,0.1,0.08,0.5,0.12,0.1,0.8333333333333334,
analcatdata_boxing1.csv,120.0,4.0,3.0,3.0,0.0,0.0,0.0,target,2.0,0.65,True,120.0,3.0,0.9340680553754911,0.1651376146788991,0.37823656895175084,0.9,0.9689049252223804,0.6750047564035454,0.7272727489471436,0.75,0.75,0.7027273545311424,0.2499999999997865,0.33333333333333337,0.3916666666666667,0.9791666666666666,0.5916666666666667,0.4479231339704741,0.3416666666666667,0.4166666666666667,0.5166666666666667,0.025,0.025,1.0,
analcatdata_boxing2.csv,132.0,4.0,3.0,3.0,0.0,0.0,0.0,target,2.0,0.5378787878787878,True,132.0,3.0,0.9958560657511164,0.011412919424788837,0.3572008296510055,0.9013416608836456,0.9602264812126093,0.6526721978546581,1.0,1.0,1.0,0.7241201099455892,0.18733149930433535,0.3560606060606061,0.303030303030303,0.9829545454545454,0.6893939393939394,0.47977348446176865,0.5,0.36363636363636365,0.6136363636363636,0.022727272727272728,0.022727272727272728,1.0,
analcatdata_creditscore.csv,100.0,7.0,6.0,6.0,0.0,0.0,0.0,target,2.0,0.73,True,100.0,6.0,0.8414646362081756,0.349290194783757,0.3553847482511443,0.8549494949494949,0.9345839903524009,0.27374779215457595,0.0,0.28,0.0,0.7396730231761799,0.0320275447376267,0.06000000000000005,0.010000000000000009,0.9349,0.36,0.3812050550983271,0.2,0.29,0.34,0.06,0.05,0.8333333333333334,
analcatdata_cyyoung8092.csv,97.0,11.0,10.0,10.0,0.0,0.0,0.0,target,2.0,0.7525773195876289,True,97.0,10.0,0.8071675554288905,0.40660457239627434,0.24467687710123265,0.8713487972508591,0.8851541328478687,0.20170916129104086,0.037575236174274204,0.5876288659793815,0.2268041237113402,0.7200271564567176,0.08171663932112061,0.11340206185567014,0.07216494845360821,0.9348496120735466,0.4536082474226804,0.43051022066588274,0.27835051546391754,0.3402061855670103,0.5979381443298969,0.10309278350515463,0.05154639175257732,0.5,
analcatdata_cyyoung9302.csv,92.0,11.0,10.0,10.0,0.0,0.0,0.0,target,2.0,0.7934782608695652,True,92.0,10.0,0.7347813522127804,0.5124780316344464,0.23604795369987608,0.864787386526517,0.8764874799629181,0.16291378400319415,0.08823814217595932,0.7065217391304348,0.25,0.7551629150741885,0.07299735996364198,0.10869565217391308,0.10869565217391308,0.8967391304347826,0.29347826086956524,0.38808689735499674,0.18478260869565216,0.2608695652173913,0.4782608695652174,0.10869565217391304,0.05434782608695652,0.5,
analcatdata_fraud.csv,42.0,12.0,11.0,11.0,0.0,0.0,0.0,target,2.0,0.6904761904761905,True,42.0,11.0,0.8926230133850988,0.25346534653465347,0.6759776536312849,0.8734030197444831,0.952505415068941,0.2048971911668043,0.2857142984867096,0.8809523809523809,0.8809523809523809,0.6153014692624432,0.14837626323258846,0.09523809523809523,0.11904761904761907,0.9178004535147393,0.4523809523809524,0.4710081794649907,0.40476190476190477,0.3333333333333333,0.5476190476190477,0.2619047619047619,0.21428571428571427,0.8181818181818182,
analcatdata_japansolvent.csv,52.0,10.0,9.0,9.0,0.0,0.0,0.0,target,2.0,0.5192307692307693,True,52.0,9.0,0.9989326546260582,0.002954209748892267,0.4716017868538609,0.8484162895927602,0.8446805181152883,0.1437122606746383,0.00010816828714320502,0.5576923076923077,0.0,0.7227492023492387,0.072669012731441,0.11538461538461542,0.07692307692307687,0.8923816568047337,0.38461538461538464,0.4260632300237015,0.25,0.34615384615384615,0.4230769230769231,0.17307692307692307,0.11538461538461539,0.6666666666666666,
analcatdata_lawsuit.csv,264.0,5.0,4.0,4.0,0.0,0.0,0.0,target,2.0,0.928030303030303,True,264.0,4.0,0.37323155189232515,0.8458251912694996,0.3225895825637237,0.8229922802166147,0.8784992537973836,0.13801525706218898,0.1003695514059862,0.26515151515151514,0.07954545454545454,0.5857051424934637,0.00597664866788139,0.022727272727272707,0.007575757575757569,0.6874139118457301,0.056818181818181816,0.1407632585647121,0.03409090909090909,0.17045454545454544,0.07196969696969698,0.015151515151515152,0.011363636363636364,0.75,
appendicitis.csv,106.0,8.0,7.0,7.0,0.0,0.0,0.0,target,2.0,0.8018867924528302,True,106.0,7.0,0.7181384220154764,0.5343073310722671,0.4472581208522529,0.8359389038634322,0.8260444752566667,0.21349584900993815,0.0446421027042825,0.7075471698113207,0.2641509433962264,0.6150477905049043,0.09861944447451831,0.1132075471698113,0.18867924528301883,0.9078853684585262,0.25471698113207547,0.3793831753321258,0.16037735849056603,0.2830188679245283,0.33962264150943394,0.0660377358490566,0.02830188679245283,0.42857142857142855,
backache.csv,180.0,33.0,32.0,32.0,0.0,0.0,0.0,target,2.0,0.8611111111111112,True,180.0,32.0,0.5813214987637029,0.6855983772819473,0.5270257667403874,0.8013656114214773,0.9831281920067322,0.1972227154334,0.0,0.8277777777777777,0.6111111111111112,0.6548248589671897,0.08865729530981004,0.08333333333333337,0.09999999999999998,0.8920370370370371,0.31666666666666665,0.38953437601053,0.2111111111111111,0.17777777777777778,0.4888888888888889,0.17777777777777778,0.12777777777777777,0.71875,
biomed.csv,209.0,9.0,8.0,8.0,0.0,0.0,0.0,target,2.0,0.6411483253588517,True,209.0,8.0,0.9417258626620666,0.1476188456808446,0.46280743851229755,0.8565973500184026,0.8564898070341069,0.15746677764343625,0.0014661937693304901,0.6698564593301436,0.10047846889952153,0.6932342933198676,0.07343941286780942,0.1004784688995215,0.0574162679425837,0.949314347199011,0.22966507177033493,0.34759691912292173,0.10047846889952153,0.11483253588516747,0.430622009569378,0.03827751196172249,0.03349282296650718,0.875,
breast_cancer.csv,286.0,10.0,9.0,9.0,0.0,0.0,0.0,target,2.0,0.7027972027972028,True,286.0,9.0,0.8778446951746506,0.28253474992651073,0.40637243791082467,0.8812170285854496,0.9668039815128915,0.5364365817551126,0.6399999952316284,0.9965034965034965,0.993006993006993,0.6391743976791805,0.17972756622805286,0.26573426573426573,0.26573426573426573,0.9857572497432637,0.43356643356643354,,0.2937062937062937,0.3706293706293706,0.44405594405594406,0.03146853146853147,0.024475524475524476,0.7777777777777778,
bupa.csv,345.0,6.0,5.0,5.0,0.0,0.0,0.0,target,2.0,0.5101449275362319,True,345.0,5.0,0.9997030165587099,0.0008230176192954852,0.4933970746580133,0.8875631951466127,0.969688385401272,0.7014233948857258,0.28694725042045793,0.9855072463768116,0.9478260869565217,0.7514726927904253,0.1843373033093798,0.3536231884057971,0.3536231884057971,0.9929846670867465,0.672463768115942,0.49203203814790925,0.5043478260869565,0.4115942028985507,0.8057971014492754,0.014492753623188406,0.011594202898550725,0.8,
chess.csv,3196.0,37.0,36.0,36.0,0.0,0.0,0.0,target,2.0,0.522215269086358,True,3196.0,36.0,0.9985755386554581,0.003940366873872669,0.5221108952691272,0.8839519665622717,0.9762637783257385,0.12329198059443316,0.0,0.8172715894868585,0.5669586983729662,0.78770981548485,0.026806561785642558,0.026908635794743452,0.03973717146433042,0.9974015156617863,0.18648310387984982,0.34934221372524343,0.09918648310387986,0.33635794743429287,0.3379224030037547,0.011264080100125156,0.007509386733416771,0.6666666666666666,
churn.csv,5000.0,21.0,20.0,20.0,0.0,0.0,0.0,target,2.0,0.8586,True,5000.0,20.0,0.5878935751446988,0.6793238856742458,0.5014157318690868,0.8402734946989397,0.9874088971393704,0.349103828772148,0.11903873856521884,0.9942,0.9696,0.7233420238209483,0.12388181872154258,0.14139999999999997,0.14139999999999997,0.99645144,0.2246,0.4393670860916332,0.1424,0.1838,0.6982,0.004,0.0024,0.6,
clean1.csv,476.0,169.0,168.0,168.0,0.0,0.0,0.0,target,2.0,0.5651260504201681,True,476.0,168.0,0.9877270579926237,0.03336515927436856,0.39027208558556614,0.8895709862892526,0.9777654487458074,0.0012528025098937235,0.0,0.0,0.0,0.8454968534178883,0.0,0.0,0.004201680672268893,0.9830476308170327,0.23109243697478993,0.3695119912354594,0.1092436974789916,0.4789915966386555,0.4789915966386555,0.35294117647058826,0.06722689075630252,0.19047619047619047,
clean2.csv,6598.0,169.0,168.0,168.0,0.0,0.0,0.0,target,2.0,0.8458623825401637,True,6598.0,168.0,0.6200985590130879,0.6472622301079647,0.3690819123508846,0.8597362290436424,0.9821937504085412,0.007705286338450565,0.0,0.0,0.0,0.7617923006911719,0.0,0.0,0.0033343437405274345,0.9909294438383737,0.09866626250378903,0.23778934163499876,0.054410427402243104,0.45438011518642013,0.2140042437102152,0.025462261291300393,0.005304637769020916,0.20833333333333334,
clinical_breast_cancer_RFC_preprocessed.csv,1985.0,17.0,16.0,16.0,0.0,0.0,0.0,RFS_STATUS,2.0,0.5949622166246852,True,1985.0,16.0,0.9738213337200423,0.06963090413031314,0.5103290320697035,0.8980686804257739,0.9896961389429161,0.7123086558085158,0.7143770909098671,0.9959697732997481,0.9934508816120907,0.6745235752327045,0.2225419281523242,0.3586901763224182,0.364735516372796,0.9987460106973587,0.6292191435768262,0.4719182822861714,0.44382871536523927,0.44130982367758187,0.6181360201511334,0.008060453400503778,0.0010075566750629723,0.125,
clinical_breast_cancer_RFC_preprocessed_smoth_RFS_STATUS.csv,2362.0,17.0,16.0,16.0,0.0,0.0,0.0,RFS_STATUS,2.0,0.5,True,2362.0,16.0,1.0,0.0,0.5158456575297016,0.9030254907846638,0.9906662960583973,0.7364919560950117,0.7143770909098671,0.9944961896697714,0.9915325994919559,0.7246261861984821,0.17816268031008398,0.3899237933954276,0.3598645215918713,0.998751219743024,0.6248941574936494,0.3281180930720368,0.29805249788314986,0.4669771380186283,0.5203217612193056,0.006773920406435224,0.000846740050804403,0.125,
coil2000.csv,9822.0,86.0,85.0,85.0,0.0,0.0,0.0,target,2.0,0.9403380166972104,True,9822.0,85.0,0.32610165528193497,0.8736140159901751,0.5420071174377987,0.8095315224166002,0.9973726767167191,0.455627791073238,0.0,0.9913459580533496,0.938810832824272,0.6638511369339613,0.05630293067894754,0.0596619833027896,0.0596619833027896,0.997429473709612,0.15434738342496437,,0.10435756465078395,0.0993687639991855,0.16625941763388313,0.008654041946650377,0.0034616167786601505,0.4,
corral.csv,160.0,7.0,6.0,6.0,0.0,0.0,0.0,target,2.0,0.5625,True,160.0,6.0,0.9886994082884974,0.030769230769230882,0.6796779930731067,0.875943396226415,0.8637757358687589,0.13071733204231334,1.0,1.0,1.0,0.6687669171677212,0.08571287889292367,0.09375,0.05625000000000002,0.966484375,0.23125,0.071875,0.05,0.30625,0.275,0.0375,0.0375,1.0,
datasets_complexity_long.csv,220.0,3.0,2.0,0.0,2.0,2.0,0.30303030303030304,value,167.0,0.0871559633027523,False,218.0,32.0,0.9415281262282061,0.011190962335735466,0.3203661327231122,0.9953917050691244,0.16307341166014144,,,0.0013921138337048605,0.0,0.9539639796476059,0.0,0.0,4.740948395807353e-05,0.9954128440366973,0.9357798165137615,0.8478593272171253,0.926605504587156,0.5779816513761468,1.0,0.14678899082568808,0.12844036697247707,0.875,
datasets_complexity_ranked.csv,10.0,37.0,36.0,33.0,3.0,2.0,0.5405405405405406,avg_all_metrics,10.0,0.1,False,9.0,47.0,1.0,0.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,1.0,1.0,1.0,0.0,1.0,5.222222222222222,0.2222222222222222,0.0425531914893617,
datasets_complexity_summary.csv,10.0,36.0,35.0,32.0,3.0,2.0,0.5555555555555556,t4,5.0,0.3,False,9.0,46.0,0.9462651872218008,0.054054054054053835,1.0,0.9166666666666666,,,,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.8024691358024691,0.7777777777777778,0.5714494069639422,0.4444444444444444,0.4444444444444444,0.8888888888888888,5.111111111111111,0.2222222222222222,0.043478260869565216,
